provider_id,user_id,email,username,password,name,last_name,phone_number,birth_date,gender,age,active,created_at
Spotify,1,tperez@example.org,tammy18,+I6xhZ3lw7,Robin,Braun,+1-990-239-0019x73133,2003-01-03,F,21.0,True,2024-07-11 17:56:24
Spotify,2,davidgallegos@example.net,princesally,L^&GBBXi!3,Kristin,Mcdaniel,+1-750-467-8861,2001-05-12,M,23.0,False,2024-02-02 15:44:15
Spotify,3,walkerkelli@example.com,zblackburn,#G)c*2Dvml,Philip,Bryant,+1-968-309-3203x10037,1987-04-28,M,37.0,False,2024-11-03 23:27:02
Spotify,4,ashley55@example.net,hutchinsonkrista,&Z6T^6QcYy,Brian,Cohen,353.276.9546,1999-05-02,M,25.0,True,2024-09-23 00:25:17
Spotify,5,johnnelson@example.net,karenoliver,+v1RL_LJf+,Robert,Howard,+1-503-699-1627x025,1980-01-17,F,44.0,False,2024-04-03 19:44:09
Spotify,6,smithdaniel@example.org,alec99,(Cg22*Nk8^,Julia,Garrett,289.673.1362,2003-06-07,M,21.0,True,2024-02-13 04:44:19
Spotify,7,elliottjennifer@example.net,kyle27,5HPN$piq@Y,Michael,Gomez,623.986.1318x712,1996-12-31,F,27.0,False,2024-03-31 19:54:45
Spotify,8,barneserika@example.org,flowerslinda,Q#4g!kEj^F,Gregory,Duncan,8178506104,1991-06-27,M,33.0,True,2024-01-26 18:23:42
Spotify,9,frankreid@example.org,samanthamoss,145_ZBxqH&,Richard,Steele,(713)430-1391x9203,1988-08-05,M,36.0,False,2024-02-07 12:08:40
Spotify,10,jeffrey97@example.org,nsutton,2#7M8&OozO,Walter,Adams,536-385-4101,1992-04-01,M,32.0,True,2024-03-11 00:39:23
Spotify,11,michael37@example.net,andrew38,%7)hC3rv%o,Judith,Rodriguez,+1-715-869-1356x07981,1978-05-18,F,46.0,False,2024-09-15 23:32:06
Spotify,12,karengray@example.net,wendysullivan,IK0v#1Et^^,Richard,Roberts,389.886.4620x58344,1976-10-22,F,48.0,True,2024-04-27 13:47:53
Spotify,13,wrightkyle@example.org,tponce,%cDbSuPB6i,Connie,Bauer,+1-877-849-4433x14772,1995-06-19,F,29.0,False,2024-10-27 02:59:39
Spotify,14,wmatthews@example.net,mary54,7n5haJ!x^D,Anthony,Hale,+1-478-283-1940x06091,2006-04-14,F,18.0,True,2024-03-12 05:35:06
Spotify,15,longjamie@example.net,rogerpatton,P(fj6Tki$),Lauren,Hendrix,949.362.5060x43346,1987-03-21,M,37.0,False,2024-06-05 11:56:04
Spotify,16,nalexander@example.com,wjackson,&j7UmXibib,Janet,Shea,(939)780-4160,1976-01-15,M,48.0,True,2024-11-16 02:06:49
Spotify,17,chelsea00@example.com,jeandavis,c$22y29zyK,Kurt,Wagner,+1-852-242-5096x2436,1993-10-06,M,31.0,False,2024-04-20 01:16:12
Spotify,18,elaine54@example.com,jimmy68,2xIL8xo$%l,Mary,Bond,811.551.1397,1996-12-20,F,27.0,True,2024-04-03 05:35:44
Spotify,19,ghobbs@example.net,michellewilliams,+fbq9Zdn(9,Megan,Holmes,(459)730-3463x7771,2002-10-19,F,22.0,False,2024-07-26 18:31:03
Spotify,20,ddorsey@example.org,nrice,#Z7y9JWaJn,Mary,Yu,(516)867-0865,1983-08-02,F,41.0,True,2024-11-15 20:48:03
Spotify,21,ecarter@example.net,brett52,#q@IGgR98u,William,Michael,880.605.1000,1986-02-27,F,38.0,True,2024-04-07 20:47:17
Spotify,22,jennifer61@example.org,chad53,^0dtT0vz&h,Zachary,Walker,+1-915-305-3678,2007-07-05,F,17.0,True,2024-01-13 21:05:25
Spotify,23,jesus81@example.org,kylefarley,83Q4YN(w(3,Stephanie,Bennett,(647)575-8714,1979-04-25,F,45.0,True,2024-09-20 20:15:57
Spotify,24,jacobconrad@example.com,martinezallen,S+04KKIe$Y,Bobby,Richards,+1-909-230-0340x11860,2012-05-03,M,12.0,False,2024-08-30 01:28:54
Spotify,25,perry77@example.org,mmartinez,X52PrlFq!o,Amy,Robertson,(587)951-5932x22977,1981-11-07,F,43.0,False,2024-08-15 23:46:58
Spotify,26,jstevens@example.org,chrisryan,IQ0BQJVv$1,Kimberly,Hunt,3122767119,2000-11-10,M,24.0,False,2024-09-21 15:25:07
Spotify,27,patrick45@example.net,carpenterjose,)6uHW74rh9,William,Ayala,001-732-464-0983x597,1976-08-09,F,48.0,True,2024-04-18 15:04:04
Spotify,28,wjenkins@example.net,klarson,oR!4xE_y5+,Jennifer,Sexton,359.277.3805x96699,1983-08-22,M,41.0,False,2024-10-20 12:05:57
Spotify,29,vgallagher@example.com,guerraamy,!sTow1cP67,Bryce,Solomon,877.973.2342x278,1982-01-19,F,42.0,False,2024-05-26 17:42:38
Spotify,30,andrewsjasmine@example.org,brett94,(4DX64Pj^@,Kim,Arias,233-220-4190x8578,2004-11-23,M,19.0,False,2024-04-16 04:56:54
Spotify,31,conradjeffrey@example.net,ryan40,gDho7XDoo@,Evan,Reed,001-298-747-2198x672,1980-12-04,F,43.0,False,2024-10-19 13:49:44
Spotify,32,rossjoy@example.org,michael94,RjrgxPM6(1,Michael,Brown,(495)997-0403x9066,1992-12-03,M,31.0,False,2024-03-30 21:43:03
Spotify,33,emily86@example.org,cruzmichael,$6P(fBgjob,Jay,Watson,6216399324,1983-12-26,M,40.0,False,2024-02-09 14:38:51
Spotify,34,braunpamela@example.net,mario82,nc8*ZIdbw+,Teresa,Turner,+1-319-689-6747,1978-02-08,M,46.0,True,2024-02-16 01:33:46
Spotify,35,kevin32@example.org,olsonsean,3anX1WRj%#,Jason,Sweeney,(588)428-9738x55233,1998-09-29,M,26.0,False,2024-02-26 03:03:12
Spotify,36,christina77@example.net,emilyayala,+4nMP8yr!C,Ryan,Jones,(554)708-7603x1646,2011-03-06,F,13.0,False,2024-01-31 22:23:52
Spotify,37,poolechristopher@example.org,edwinmartin,6OXBJYXx)5,Manuel,Soto,626-905-9316x0074,1996-10-12,F,28.0,True,2024-01-07 20:22:38
Spotify,38,danielle84@example.com,tonymoran,#1DsLlQo61,Amanda,Marshall,(877)847-7921,1995-09-19,M,29.0,True,2024-02-14 01:16:57
Spotify,39,brewerkathy@example.com,sarah73,%Ro(6*tms^,Richard,Wagner,656.443.3611x07026,1994-10-04,M,30.0,False,2024-04-28 10:13:34
Spotify,40,wileyjonathan@example.org,joan76,@59XP31t7P,Amy,West,213.745.0260x59117,2002-08-22,M,22.0,True,2024-01-11 02:29:18
